Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
714,714,0,113607,1251
715,715,0,112685,16741
716,716,0,116456,16741
717,717,0,117603,16741
718,718,0,119133,16741
719,719,0,122644,16741
720,720,0,123767,17992
721,721,0,129335,17992
722,722,0,0,17992
723,723,0,2155,17992
724,724,0,4588,17992
725,725,0,3830,34733
726,726,0,7594,34733
727,727,0,6978,34733
728,728,0,8639,34733
729,729,0,11194,34733
730,730,0,12307,52725
731,731,0,15896,52725
732,732,0,16144,52725
733,733,0,19907,52725
734,734,0,28100,52725
735,735,0,29075,21922
736,736,0,31940,21922
737,737,0,34879,21922
738,738,0,27975,21922
739,739,0,29976,21922
740,740,0,33137,9111
741,741,0,34624,9111
742,742,0,36156,9111
743,743,0,38594,9111
744,744,0,41100,9111
745,745,0,42140,31033
746,746,0,44878,31033
747,747,0,48016,31033
748,748,0,56814,31033
749,749,0,45795,31033
750,750,0,45210,40144
751,751,0,56302,40144
752,752,0,56081,40144
753,753,0,59197,40144
754,754,0,60637,40144
755,755,0,63510,5641
756,756,0,65016,5641
757,757,0,67495,5641
758,758,0,69976,5641
759,759,0,71068,5641
760,760,0,72218,45785
761,761,0,61888,45785
762,762,0,76578,45785
763,763,0,81102,45785
764,764,0,75990,45785
765,765,0,86525,51426
766,766,0,79666,51426
767,767,0,70700,51426
768,768,0,83460,51426
769,769,0,100107,51426
770,770,0,101717,31675
771,771,0,104003,31675
772,772,0,103531,31675
773,773,0,106281,31675
774,774,0,104410,31675
775,775,0,109807,17565
776,776,0,108062,17565
777,777,0,100823,17565
778,778,0,110918,17565
779,779,0,134787,17565
780,780,0,129770,49240
781,781,0,131321,49240
782,782,0,139970,49240
783,783,0,126631,49240
784,784,0,141983,49240
785,785,0,137785,1269
786,786,0,140246,1269
787,787,0,142060,1269
788,788,0,142359,1269
789,789,0,144670,1269
790,790,0,146369,50509
791,791,0,148235,50509
792,792,0,146489,50509
793,793,0,153513,50509
794,794,0,138935,50509
795,795,0,152728,51778
796,796,0,154578,51778
797,797,0,142128,51778
798,798,0,154403,51778
799,799,0,154257,51778
800,800,0,164279,36751
801,801,0,157242,36751
802,802,0,157683,36751
803,803,0,153056,36751
804,804,0,154433,36751
805,805,0,144394,22993
806,806,0,158231,22993
807,807,0,160931,22993
808,808,0,162382,22993
809,809,0,163413,22993
810,810,0,162883,59744
811,811,0,160880,59744
812,812,0,170482,59744
813,813,0,173276,59744
814,814,0,170898,59744
815,815,0,172337,17201
816,816,0,172099,17201
817,817,0,123497,17201
818,818,0,127122,17201
819,819,0,128427,17201
820,820,0,129603,11409
821,821,0,132483,11409
822,822,0,133451,11409
823,823,0,0,11409
824,824,0,1391,11409
825,825,0,3287,28610
826,826,0,4660,28610
827,827,0,6273,28610
828,828,0,8379,28610
829,829,0,11057,28610
830,830,0,12613,40019
831,831,0,14249,40019
832,832,0,15955,40019
833,833,0,18579,40019
834,834,0,24539,40019
835,835,0,22796,3093
836,836,0,24493,3093
837,837,0,22026,3093
838,838,0,29463,3093
839,839,0,31289,3093
840,840,0,26457,43112
841,841,0,34293,43112
842,842,0,42322,43112
843,843,0,37435,43112
844,844,0,46552,43112
845,845,0,47919,46205
846,846,0,49924,46205
847,847,0,49916,46205
848,848,0,54649,46205
849,849,0,58013,46205
850,850,0,55823,23781
851,851,0,48383,23781
852,852,0,57808,23781
853,853,0,59792,23781
854,854,0,61839,23781
855,855,0,64098,4450
856,856,0,65570,4450
857,857,0,69869,4450
858,858,0,80029,4450
859,859,0,70721,4450
860,860,0,71583,28231
861,861,0,69681,28231
862,862,0,70126,28231
863,863,0,78163,28231
864,864,0,79846,28231
865,865,0,77662,32681
866,866,0,81368,32681
867,867,0,85168,32681
868,868,0,82631,32681
869,869,0,151252,32681
870,870,0,104644,60912
871,871,0,105539,60912
872,872,0,104068,60912
873,873,0,105351,60912
874,874,0,113416,60912
875,875,0,115813,28057
876,876,0,117712,28057
877,877,0,118890,28057
878,878,0,130261,28057
879,879,0,119683,28057
880,880,0,130458,23433
881,881,0,126214,23433
882,882,0,124729,23433
883,883,0,126328,23433
884,884,0,127866,23433
885,885,0,124754,51490
886,886,0,134469,51490
887,887,0,135673,51490
888,888,0,137990,51490
889,889,0,133914,51490
890,890,0,136046,9387
891,891,0,129051,9387
892,892,0,137854,9387
893,893,0,140177,9387
894,894,0,142781,9387
895,895,0,144700,60877
896,896,0,155245,60877
897,897,0,101134,60877
898,898,0,104545,60877
899,899,0,101269,60877
900,900,0,95092,4728
901,901,0,96696,4728
902,902,0,99061,4728
903,903,0,100457,4728
904,904,0,106312,4728
905,905,0,102197,69
906,906,0,103626,69
907,907,0,110934,69
908,908,0,106137,69
909,909,0,108435,69
910,910,0,110585,4797
911,911,0,110521,4797
912,912,0,105259,4797
913,913,0,110632,4797
914,914,0,120243,4797
915,915,0,122956,4866
916,916,0,125057,4866
917,917,0,127813,4866
918,918,0,129553,4866
919,919,0,124472,4866
920,920,0,120460,9663
921,921,0,120809,9663
922,922,0,122762,9663
923,923,0,124598,9663
924,924,0,0,9663
925,925,0,1285,14529
926,926,0,3631,14529
927,927,0,4647,14529
928,928,0,6692,14529
929,929,0,8449,14529
930,930,0,9474,24192
931,931,0,11077,24192
932,932,0,14092,24192
933,933,0,15514,24192
934,934,0,13684,24192
935,935,0,13439,38721
936,936,0,24387,38721
937,937,0,22003,38721
938,938,0,23619,38721
939,939,0,24730,38721
940,940,0,26738,62913
941,941,0,36991,62913
942,942,0,22925,62913
943,943,0,23869,62913
944,944,0,26067,62913
945,945,0,28996,36098
946,946,0,35033,36098
947,947,0,32509,36098
948,948,0,35726,36098
949,949,0,36966,36098
950,950,0,38614,33475
951,951,0,42013,33475
952,952,0,43858,33475
953,953,0,52791,33475
954,954,0,41680,33475
955,955,0,50776,4037
956,956,0,44347,4037
957,957,0,59918,4037
958,958,0,52526,4037
959,959,0,54139,4037
960,960,0,54842,37512
961,961,0,58517,37512
962,962,0,58381,37512
963,963,0,62498,37512
964,964,0,62653,37512
965,965,0,65128,41549
966,966,0,64051,41549
967,967,0,66765,41549
968,968,0,72465,41549
969,969,0,73830,41549
970,970,0,75571,13525
971,971,0,84354,13525
972,972,0,86124,13525
973,973,0,87741,13525
974,974,0,82633,13525
975,975,0,90253,55074
976,976,0,85660,55074
977,977,0,110580,55074
978,978,0,111479,55074
979,979,0,113467,55074
980,980,0,116971,3063
981,981,0,117974,3063
982,982,0,120757,3063
983,983,0,122827,3063
984,984,0,123588,3063
985,985,0,120585,58137
986,986,0,124114,58137
987,987,0,142549,58137
988,988,0,131499,58137
989,989,0,134248,58137
990,990,0,135657,61200
991,991,0,129611,61200
992,992,0,134705,61200
993,993,0,131875,61200
994,994,0,116053,61200
995,995,0,117482,53801
996,996,0,111116,53801
997,997,0,114248,53801
998,998,0,115661,53801
999,999,0,116699,53801
1000,1000,0,116669,49465
1001,1001,0,126541,49465
1002,1002,0,111473,49465
1003,1003,0,114459,49465
1004,1004,0,119986,49465
1005,1005,0,122184,37730
1006,1006,0,117481,37730
1007,1007,0,121256,37730
1008,1008,0,122001,37730
1009,1009,0,121908,37730
1010,1010,0,123178,21659
1011,1011,0,125771,21659
1012,1012,0,127041,21659
1013,1013,0,131684,21659
1014,1014,0,133153,21659
1015,1015,0,134579,59389
1016,1016,0,136203,59389
1017,1017,0,137641,59389
1018,1018,0,138987,59389
1019,1019,0,150083,59389
1020,1020,0,140293,15512
1021,1021,0,147166,15512
1022,1022,0,149050,15512
1023,1023,0,147551,15512
1024,1024,0,142648,15512
1025,1025,0,0,9365
1026,1026,0,1436,9365
1027,1027,0,3331,9365
1028,1028,0,4221,9365
1029,1029,0,6576,9365
1030,1030,0,8132,24877
1031,1031,0,9308,24877
1032,1032,0,11931,24877
1033,1033,0,15077,24877
1034,1034,0,15860,24877
1035,1035,0,17069,34242
1036,1036,0,15504,34242
1037,1037,0,21014,34242
1038,1038,0,20674,34242
1039,1039,0,21429,34242
1040,1040,0,25015,59119
1041,1041,0,27886,59119
1042,1042,0,29601,59119
1043,1043,0,35237,59119
1044,1044,0,29730,59119
1045,1045,0,30948,27825
1046,1046,0,32965,27825
1047,1047,0,38643,27825
1048,1048,0,40912,27825
1049,1049,0,35816,27825
1050,1050,0,37024,21408
1051,1051,0,38953,21408
1052,1052,0,40251,21408
1053,1053,0,41621,21408
1054,1054,0,42338,21408
1055,1055,0,45894,49233
1056,1056,0,47997,49233
1057,1057,0,49722,49233
1058,1058,0,53977,49233
1059,1059,0,51008,49233
1060,1060,0,52272,5105
1061,1061,0,51935,5105
1062,1062,0,58523,5105
1063,1063,0,58141,5105
1064,1064,0,57547,5105
1065,1065,0,67169,54338
1066,1066,0,63411,54338
1067,1067,0,60734,54338
1068,1068,0,71057,54338
1069,1069,0,70892,54338
1070,1070,0,70826,59443
1071,1071,0,60112,59443
1072,1072,0,68949,59443
1073,1073,0,71220,59443
1074,1074,0,72735,59443
1075,1075,0,75060,48245
1076,1076,0,74256,48245
1077,1077,0,77974,48245
1078,1078,0,79266,48245
1079,1079,0,81083,48245
1080,1080,0,82589,42152
1081,1081,0,80679,42152
1082,1082,0,92083,42152
1083,1083,0,93837,42152
1084,1084,0,91376,42152
1085,1085,0,92920,24861
1086,1086,0,95186,24861
1087,1087,0,90219,24861
1088,1088,0,93498,24861
1089,1089,0,94812,24861
1090,1090,0,96293,1477
1091,1091,0,98780,1477
1092,1092,0,101161,1477
1093,1093,0,103486,1477
1094,1094,0,102201,1477
1095,1095,0,107551,26338
1096,1096,0,105099,26338
1097,1097,0,102090,26338
1098,1098,0,107038,26338
1099,1099,0,115008,26338
1100,1100,0,116577,27815
1101,1101,0,118804,27815
1102,1102,0,112705,27815
1103,1103,0,106073,27815
1104,1104,0,105916,27815
1105,1105,0,112067,54153
1106,1106,0,113407,54153
1107,1107,0,115194,54153
1108,1108,0,109265,54153
1109,1109,0,115682,54153
1110,1110,0,117032,16432
1111,1111,0,122189,16432
